Code,Lat_dd,Lon_dd,Alt_m,Time_dy,D_dd,IGRF_D_dd,I_dd,IGRF_I_dd,F_nT,IGRF_F_nT,H_nT,IGRF_H_nT,X_nT,IGRF_X_nT,Calculated_X,Y_nT,IGRF_Y_nT,Calculated_Y,Z_nT,IGRF_Z_nT,Calculated_Z,N_occupations,Closest_OBS,TTB_distances_km,VSS_distances_km,State,Region,RS_name,RMSE_D_Original_values,RMSE_I_Original_values,RMSE_F_Original_values,RMSE_H_Original_values,RMSE_X_Original_values,RMSE_X_Calculated_values,RMSE_Y_Original_values,RMSE_Y_Calculated_values,RMSE_Z_Original_values,RMSE_Z_Calculated_values,geometry
AM_MAN,-2.930,-59.975,90.700,2005.760,-14.324,-14.300,11.314,11.133,27065.000,27002.600,26039.000,26494.400,5310.000,25674.400,25713.998,NaN,-6540.700,-6565.888,NaN,5213.800,5309.767,25,TTB,1287.998,2790.679,AM,N,MANAUS,0.327,0.208,128.662,133.015,4074.033,97.073,171.983,168.497,143.647,141.949,POINT (-59.975 -2.93)
BA_CRV,-17.652,-39.249,7.880,2014.940,-23.793,-23.767,-37.160,-37.200,24032.000,24029.400,19153.000,19138.200,17525.000,17514.900,17524.568,-7727.000,-7713.800,-7726.698,-14516.000,-14530.600,-14516.359,13,VSS,2090.332,699.965,BA,NE,CARAVELAS,0.119,0.152,54.539,45.058,50.529,50.676,44.040,43.858,72.464,72.712,POINT (-39.249 -17.652)
BA_SAL,-12.902,-38.327,13.998,2006.582,-23.044,-23.167,-29.050,-29.083,24416.000,24680.100,21344.000,21568.900,-11856.000,19829.300,19641.192,NaN,-8486.300,-8354.998,NaN,-11995.400,-11855.743,18,VSS,1717.715,1196.897,BA,NE,SALVADOR,0.217,0.207,255.664,238.185,7470.992,205.180,153.745,152.278,131.621,131.736,POINT (-38.327 -12.902)
CE_FOR,-3.878,-38.426,24.395,2014.686,-21.403,-21.283,-17.881,-17.783,26311.000,26280.100,25039.000,25024.200,23312.000,23318.600,23313.234,-9137.000,-9080.200,-9137.765,-8078.000,-8027.000,-8078.557,13,TTB,1159.168,2135.060,CE,NE,FORTALEZA,0.149,0.293,256.376,218.821,8405.460,210.853,89.590,90.133,207.923,200.064,POINT (-38.426 -3.878)
GO_GOI,-16.631,-49.228,736.682,2001.411,-19.184,-19.050,-21.274,-21.117,23629.000,23572.300,22018.000,21990.100,20796.000,20785.700,20796.079,-7235.000,-7177.600,-7235.450,-8573.000,-8490.500,-8573.272,12,VSS,1717.079,867.667,GO,CO,GOIANIA,0.105,0.181,61.833,62.583,62.222,62.018,45.352,45.207,78.663,78.976,POINT (-49.228 -16.631)
MA_SLZ,-2.581,-44.239,41.712,2003.734,-20.892,-20.800,-4.058,-4.083,26329.000,26435.100,26262.000,26367.900,24536.000,24649.800,24536.312,-9366.000,-9362.400,-9365.581,-1863.000,-1884.500,-1863.205,14,TTB,499.012,2204.689,MA,NE,SAO LUIZ,0.279,0.228,140.384,108.482,129.210,129.419,120.217,120.172,148.660,148.801,POINT (-44.239 -2.581)
MG_UBR,-19.767,-47.963,797.527,1996.223,-18.552,-18.750,-25.409,-25.250,23349.000,23438.100,21090.000,21199.000,19994.000,20073.900,19994.446,-6710.000,-6814.300,-6710.232,-10018.000,-9997.300,-10018.519,13,VSS,2064.868,534.689,MG,SE,UBERABA,0.233,0.251,152.076,163.954,160.095,159.925,104.993,104.836,88.462,88.822,POINT (-47.963 -19.767)
MS_COR,-19.012,-57.662,147.915,2001.762,-13.088,-13.050,-17.770,-17.550,23356.000,23246.200,22241.000,22164.800,21663.000,21592.800,21663.907,-5036.000,-5002.900,-5036.566,-7128.000,-7007.900,-7128.175,16,VSS,2216.917,1504.590,MS,CO,CORUMBA,0.122,0.247,74.252,73.321,73.968,73.911,53.195,53.569,110.829,111.251,POINT (-57.662 -19.012)
MS_TLG,-20.756,-51.688,327.278,2002.738,-17.016,-17.100,-25.106,-25.183,23104.000,23054.000,20921.000,20863.900,20005.000,19940.900,20005.368,-6122.000,-6137.000,-6122.364,-9802.000,-9807.300,-9802.894,12,VSS,2201.129,850.881,MS,CO,TRES LAGOAS,0.081,0.184,75.006,81.767,81.018,80.763,34.090,33.882,71.991,72.335,POINT (-51.688 -20.756)
MT_CUI,-15.657,-56.123,184.181,1975.515,-10.710,-10.533,-6.914,-6.833,24810.000,24739.800,24629.000,24564.200,24200.000,24150.000,24200.543,-4577.000,-4492.000,-4577.115,-2987.000,-2942.100,-2986.613,12,VSS,1810.822,1509.261,MT,CO,CUIABA,0.154,0.159,105.813,104.857,98.110,98.502,78.311,78.590,74.459,74.443,POINT (-56.123 -15.657)
PA_SAN,-2.422,-54.785,28.660,2019.737,-18.640,-18.483,1.892,1.917,26150.000,26070.000,26135.000,26055.400,24765.000,24711.700,24764.807,-8354.000,-8259.400,-8353.530,863.000,873.100,863.359,16,TTB,710.066,2525.831,PA,N,SANTAREM,0.305,0.104,177.699,158.689,151.594,151.369,162.109,161.763,98.130,97.864,POINT (-54.785 -2.422)
PE_PET,-9.365,-40.565,384.490,2014.910,-22.720,-22.567,-24.578,-24.633,25079.000,25045.000,22807.000,22765.800,21037.000,21023.100,21037.012,-8809.000,-8735.600,-8808.602,-10431.000,-10439.000,-10431.150,17,TTB,1263.474,1486.307,PE,NE,PETROLINA,0.216,0.346,118.414,124.165,7446.796,111.813,115.292,113.094,157.034,152.981,POINT (-40.565 -9.365)
PE_REC,-8.080,-34.895,1.120,2001.326,-22.496,-22.517,-24.027,-23.800,25916.000,25750.500,23670.000,23560.500,21869.000,21765.000,21869.299,-9056.000,-9021.100,-9056.772,-10552.000,-10392.100,-10552.142,16,TTB,1691.001,1847.146,PE,NE,RECIFE,0.273,0.455,242.159,228.651,247.253,247.749,90.339,90.363,229.012,229.354,POINT (-34.895 -8.08)
PI_FLO,-6.846,-43.077,193.330,2003.912,-21.603,-21.567,-13.342,-13.117,25391.000,25421.500,24705.000,24757.800,22970.000,23023.600,22970.299,-9095.000,-9102.900,-9095.976,-5859.000,-5771.000,-5859.305,12,TTB,869.891,1730.616,PI,NE,FLORIANO,0.126,0.178,71.700,73.719,82.331,82.304,47.641,47.983,79.506,79.578,POINT (-43.077 -6.846)
PR_CUR,-25.525,-49.182,898.580,2007.754,-19.525,-18.217,-35.475,-34.567,23169.000,22824.200,18868.000,18795.800,-13446.000,17853.200,17783.115,NaN,-5877.400,-6306.065,NaN,-12948.500,-13446.075,12,VSS,2705.212,660.720,PR,S,CURITIBA,0.747,0.635,175.553,131.757,9036.790,165.080,213.737,239.630,255.235,283.809,POINT (-49.182 -25.525)
PR_FIG,-25.595,-54.492,222.528,2008.894,-14.633,-14.783,-31.121,-30.817,22579.000,22617.900,19328.000,19424.200,-11671.000,18781.700,18702.408,NaN,-4954.500,-4883.117,NaN,-11587.600,-11669.891,14,VSS,2786.755,1156.775,PR,S,FOZ DO IGUACU,0.239,0.320,117.606,109.025,8139.482,105.577,93.829,92.087,144.670,140.925,POINT (-54.492 -25.595)
RO_PVL,-8.709,-63.895,88.210,2006.872,-11.327,-11.083,4.037,3.333,25470.000,25370.000,25407.000,25326.900,1793.000,24854.600,24911.935,NaN,-4868.400,-4990.105,NaN,1477.800,1793.105,16,TTB,1896.175,2643.783,RO,N,PORTO VELHO,0.252,0.471,113.491,83.600,5765.877,75.883,125.530,125.751,232.403,238.988,POINT (-63.895 -8.709)
RS_PAL,-29.992,-51.163,8.212,2007.789,-15.494,-15.400,-37.519,-37.617,22937.000,22806.800,18193.000,18065.400,-13969.000,17416.500,17531.370,NaN,-4798.400,-4859.902,NaN,-13920.900,-13969.195,18,VSS,3213.198,1128.267,RS,S,PORTO ALEGRE,0.144,0.206,132.193,125.419,7398.539,119.215,66.193,66.305,102.888,100.978,POINT (-51.163 -29.992)
