Stations (distances in km),AC_CZS,AC_RBC,AM_BAR,AM_BJC,AM_CRA,AM_MAN,AM_MNC_A,AM_SGC,AP_MCP,AP_OPQ,BA_BAR_C,BA_CRV,BA_SAL,BA_VCQ,CE_FOR,ES_CIP,GO_FOR,GO_GOI,MA_CAR,MA_SLZ,MG_MTC,MG_PCA,MG_UBR,MS_COR,MS_PPO,MS_TLG,MT_AFT,MT_CUI,MT_GNT,MT_GUI,MT_SFA,PA_ALT_C,PA_JAC,PA_MRB,PA_PTR,PA_SAN,PA_SFX,PA_VSU,PE_FNH,PE_PET,PE_REC,PI_FLO,PR_CUR,PR_FIG,RO_JIP,RO_PVL,RO_VLN,RR_BOV,RS_PAL,RS_SMA
AC_CZS,0.000,607.466,1316.340,468.629,716.365,1508.467,1284.805,1050.168,2552.020,2653.096,3081.046,3797.510,3811.299,3568.672,3820.927,3697.950,2902.725,2745.869,2792.302,3207.594,3303.004,3218.684,2995.896,2066.896,2469.143,2697.279,1848.527,2020.643,2221.057,2283.464,2460.232,2321.951,1662.069,2622.301,1927.344,2072.973,2297.864,3028.948,4482.306,3546.108,4171.001,3275.964,3196.962,2784.890,1252.487,984.609,1497.808,1773.007,3358.175,3164.385
AC_RBC,607.466,0.000,1138.511,673.220,577.810,1167.987,856.902,1102.365,2162.279,2348.850,2498.343,3193.934,3226.655,2973.130,3311.041,3090.502,2299.956,2139.286,2257.392,2729.706,2699.259,2614.965,2389.450,1481.038,1899.384,2098.603,1281.048,1413.442,1622.921,1676.040,1876.819,1873.466,1180.172,2119.387,1567.877,1666.309,1781.216,2580.741,3962.417,2985.486,3618.490,2741.296,2614.393,2231.022,658.197,451.909,891.897,1630.139,2814.436,2636.769
AM_BAR,1316.340,1138.511,0.000,876.641,618.426,392.761,565.631,462.647,1323.029,1348.492,2330.045,3182.762,3016.278,2873.375,2740.068,3231.202,2353.373,2297.300,1854.920,2083.993,2728.689,2912.440,2648.411,2085.442,2522.431,2514.692,1243.182,1794.371,1722.318,1982.554,1795.120,1212.791,816.904,1605.889,717.146,918.474,1369.878,1859.331,3403.552,2643.353,3203.304,2295.128,3101.657,2882.476,1106.848,866.150,1338.439,491.878,3457.208,3341.109
AM_BJC,468.629,673.220,876.641,0.000,354.264,1129.344,984.426,582.180,2165.160,2224.810,2884.322,3662.984,3609.936,3401.037,3507.503,3615.885,2774.477,2649.239,2521.807,2871.446,3174.843,3185.249,2942.383,2111.852,2543.782,2694.398,1655.177,1973.100,2086.735,2222.483,2277.385,1979.025,1374.762,2319.470,1539.238,1708.060,2017.886,2671.934,4173.824,3300.585,3906.446,2997.107,3238.467,2885.194,1157.497,833.790,1432.480,1312.964,3471.944,3301.741
AM_CRA,716.365,577.810,618.426,354.264,0.000,797.619,630.170,529.731,1841.264,1938.396,2535.519,3325.317,3259.388,3056.429,3158.095,3293.943,2441.754,2327.483,2167.585,2526.599,2840.391,2884.080,2634.700,1863.597,2304.227,2411.388,1312.539,1679.600,1756.967,1918.914,1933.078,1634.598,1020.500,1967.286,1214.907,1371.195,1663.726,2333.775,3823.974,2946.543,3552.316,2643.330,2972.111,2655.786,868.015,539.578,1145.168,1100.751,3244.057,3090.333
AM_MAN,1508.467,1167.987,392.761,1129.344,797.619,0.000,349.793,840.370,1044.042,1181.657,1937.333,2790.802,2626.298,2480.614,2394.156,2846.570,1968.750,1923.671,1470.912,1748.156,2339.712,2547.140,2281.648,1805.845,2229.929,2175.960,882.174,1476.688,1355.965,1640.135,1407.467,858.821,440.929,1231.957,419.042,579.231,979.918,1542.832,3060.519,2260.813,2833.211,1921.699,2764.857,2587.518,907.543,775.116,1084.897,646.374,3149.132,3051.221
AM_MNC_A,1284.805,856.902,565.631,984.426,630.170,349.793,0.000,895.091,1306.615,1503.838,1918.500,2732.112,2637.129,2448.163,2540.694,2736.493,1866.090,1781.358,1537.679,1922.806,2257.144,2378.618,2118.037,1520.965,1956.978,1958.926,727.919,1232.418,1201.288,1431.709,1331.263,1040.064,390.434,1344.318,715.208,811.854,1034.165,1749.457,3204.739,2316.709,2922.656,2014.816,2543.485,2316.991,568.584,433.937,777.171,962.283,2891.725,2776.190
AM_SGC,1050.168,1102.365,462.647,582.180,529.731,840.370,895.091,0.000,1770.764,1745.392,2767.330,3606.852,3464.739,3307.554,3201.313,3628.837,2755.069,2676.331,2310.987,2543.934,3140.928,3271.076,3011.794,2334.835,2777.912,2834.541,1620.905,2100.099,2096.270,2316.554,2208.330,1675.435,1228.454,2066.549,1177.441,1380.966,1819.382,2315.022,3863.889,3100.625,3665.339,2756.266,3411.665,3134.967,1324.755,1015.309,1591.388,773.765,3720.771,3580.253
AP_MCP,2552.020,2162.279,1323.029,2165.160,1841.264,1044.042,1306.615,1770.764,0.000,431.196,1505.912,2355.320,2011.946,2002.819,1471.069,2558.893,1781.057,1865.998,912.740,813.602,2028.029,2476.479,2229.588,2238.617,2563.091,2314.726,1236.200,1832.822,1488.056,1847.693,1299.517,390.369,1021.066,639.641,626.759,496.392,753.358,558.928,2117.278,1564.699,2007.557,1172.230,2851.238,2875.423,1702.038,1722.701,1731.191,1113.359,3340.756,3321.899
AP_OPQ,2653.096,2348.850,1348.492,2224.810,1938.396,1181.657,1503.838,1745.392,431.196,0.000,1925.001,2759.894,2384.779,2405.843,1716.790,2979.914,2211.981,2296.015,1333.540,1103.804,2451.436,2907.673,2660.502,2623.142,2967.546,2737.311,1599.829,2221.930,1898.809,2257.878,1726.700,792.849,1304.111,1067.835,791.116,773.583,1170.473,838.638,2317.653,1926.618,2297.198,1534.278,3279.717,3288.238,1980.861,1937.275,2055.653,993.670,3764.885,3739.211
